,Name,Price,Reviews
90,"Redmi 8A (Sunset Red, 32 GB)","7,499",4.3
91,"Redmi Note 7 Pro (Nebula Red, 128 GB)","13,999",4.4
92,"Redmi 7 (Comet Blue, 32 GB)","7,197",4.3
93,"Redmi Note 8 (Space Black, 128 GB)","12,999",4.4
94,"Redmi 5 (Lake Blue, 32 GB)","7,698",4.3
95,"Redmi 5 (Black, 32 GB)","8,149",4.3
96,"Redmi Note 8 (Moonlight White, 128 GB)","13,159",4.4
97,"Redmi 7 (Comet Blue, 32 GB)","8,545",4.4
98,"Redmi 5A (Blue, 16 GB)","5,999",4.5
99,"Redmi 5A (Blue, 32 GB)","6,999",4.4
100,"Redmi 5A (Gold, 32 GB)","6,999",4.4
101,"Redmi 5A (Grey, 32 GB)","6,999",4.4
102,"Mi A2 (Gold, 128 GB)","13,999",4.1
103,"Redmi Y2 (Rose Gold, 64 GB)","8,499",4.4
104,"Mi A3 (Kind of Grey, 128 GB)","14,999",4.2
105,"Redmi Note 5 Pro (Red, 64 GB)","13,999",4.5
106,"Redmi Y3 (Elegant Blue, 64 GB)","9,699",4.4
107,"Redmi 9 Prime (MintGreen, 64 GB)","11,999",4.3
108,"Redmi Note 7S (Sapphire Blue, 64 GB)","11,999",4.4
109,"Redmi Note 7 Pro (Nebula Red, 64 GB)","12,999",4.4
110,"Redmi Note 8 (Neptune Blue, 128 GB)","15,999",4.4
111,"Mi A3 (Kind of Grey, 64 GB)","12,999",4.3
112,"Redmi Note 5 Pro (Rose Gold, 64 GB)","14,995",4.5
113,"Redmi 5A (Rose Gold, 16 GB)","5,999",4.5
114,"Redmi Y1 (Gold, 64 GB)","9,990",4.2
115,"Redmi 5 (Lake Blue, 64 GB)","8,299",4.3
116,"Mi A3 (Not just Blue, 64 GB)","12,999",4.3
117,"Mi A3 (More Than White, 64 GB)","12,999",4.3
118,"Redmi 8A (Ocean Blue, 32 GB)","6,999",4.4
119,"Redmi 6 (Rose Gold, 32 GB)","7,999",4.4
120,"Mi A2 (Black, 64 GB)","14,999",4.2
121,"Mi 10 (Coral Green, 128 GB)","47,460",4.4
122,"Redmi 9A (Nature Green, 32 GB)","9,490",4.4
123,"Mi A2 (Lake Blue, 128 GB)","16,200",4.1
124,"Redmi 6 Pro (Lake Blue, 32 GB)","11,480",4.3
125,"Redmi 6 Pro (Red, 32 GB)","11,000",4.3
126,"Redmi 6 Pro (Rose Gold, 64 GB)","13,499",4.3
127,"Redmi Note 7 Pro (Moonlight White, 64 GB)","15,999",4.5
128,"Redmi K20 (Carbon Black, 128 GB)","21,999",4.5
129,"Redmi Note 6 Pro (Blue, 64 GB)","14,990",4.5
130,"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","16,055",4.4
131,"Redmi Note 9 Pro (Aurora Blue, 128 GB)","17,089",4.3
132,"Redmi Note 9 Pro Max (Interstellar Black, 64 GB)","17,765",4.3
133,"Redmi K20 (Pearl White, 128 GB)","21,999",4.5
134,"Redmi Note 7 Pro (Neptune Blue, 64 GB)","16,899",4.4
135,"Redmi Note 7 (Ruby Red, 64 GB)","13,499",4.5
136,"Redmi Note 9 (Pebble Grey, 128 GB)","14,149",4.4
137,"Redmi Note 7 (Onyx Black, 64 GB)","12,924",4.5
138,"MI3 (Metallic Grey, 16 GB)","13,999",4.4
139,"Redmi Note 7 Pro (Neptune Blue, 128 GB)","16,189",4.4
140,"Redmi Note 5 Pro (Black, 64 GB)","14,200",4.5
141,"Redmi Note 5 (Black, 32 GB)","10,290",4.4
142,"Redmi 5 (Rose Gold, 16 GB)","8,499",4.3
143,"Mi 10 (Twilight Grey, 256 GB)","54,999",4.4
144,"Redmi Note 5 (Gold, 64 GB)","12,190",4.4
145,"Redmi Y2 (Blue, 32 GB)","10,499",4.5
146,"Redmi Note 7 Pro (Space Black, 128 GB)","16,999",4.4
147,"Redmi Note 7 (Sapphire Blue, 64 GB)","14,790",4.5
148,"Redmi 5A (Rose Gold, 16 GB)","5,999",4.5
149,"Redmi 5 (Lake Blue, 64 GB)","8,299",4.3
150,"Redmi Note 8 (Cosmic Purple, 128 GB)","13,499",4.4
151,"Redmi Note 7 Pro (Nebula Red, 64 GB)","16,500",4.4
152,"Mi A3 (Not just Blue, 128 GB)","14,999",4.2
153,"Redmi Y2 (Dark Grey, 32 GB)","7,999",4.5
154,"Redmi 5 (Rose Gold, 64 GB)","8,490",4.3
155,"Redmi Go (Blue, 16 GB)","4,999",4.3
156,"Redmi 5A (Gold, 16 GB)","5,999",4.5
157,"Redmi Y2 (Blue, 64 GB)","8,499",4.4
158,"Redmi Note 7 (Ruby Red, 32 GB)","9,999",4.4
159,"Redmi 5 (Lake Blue, 16 GB)","6,890",4.3
160,"Redmi 5 (Gold, 16 GB)","7,150",4.3
161,"Redmi Y3 (Prime Black, 64 GB)","9,499",4.4
162,"Redmi 6A (Black, 32 GB)","5,599",4.3
163,"Redmi 8A (Sunset Red, 32 GB)","6,999",4.4
164,"Redmi 6A (Gold, 32 GB)","5,742",4.3
165,"Redmi Y1 (Grey, 64 GB)","11,400",4.2
166,"Redmi 5A (Rose Gold, 32 GB)","6,999",4.4
167,"Mi A2 (Rose Gold, 64 GB)","10,599",4.2
168,"Redmi 5A (Rose Gold, 32 GB)","6,999",4.4
169,"Redmi Note 7S (Ruby Red, 64 GB)","11,999",4.4
170,"Redmi Note 7S (Onyx Black, 64 GB)","11,999",4.4
171,"Redmi Note 7S (Onyx Black, 32 GB)","9,999",4.4
172,"Redmi 7A (Matte Blue, 16 GB)","6,499",4.3
173,"Redmi Y1 (Rose Gold, 32 GB)","8,699",4.3
174,"Redmi 7A (Matte Black, 16 GB)","6,499",4.3
175,"Redmi 7 (Eclipse Black, 32 GB)","8,299",4.4
176,"Redmi 6A (Blue, 16 GB)","5,990",4.3
177,"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)","13,999",4.4
178,"Redmi Note 8 (Moonlight White, 32 GB)","10,985",4.4
179,"Redmi 7A (Matte Blue, 32 GB)","6,699",4.3
180,"Redmi Y1 lite (Gold, 16 GB)","7,499",4.2
181,"Redmi Note 9 Pro Max (Glacier White, 128 GB)","22,990",4.4
